distribution_id,distribution_type,mu,sigma,kl_divergence,sample_size,f_value
0,gaussian,0.07821282832703765,1.006410514957881,0.003099630566788525,100,-0.39374287321304574
0,gaussian,0.07821282832703765,1.006410514957881,0.003099630566788525,1000,-0.34112621622592576
1,gaussian,-0.10707687840269525,1.6872402394675734,0.4060283420351182,100,-0.47567856083226256
1,gaussian,-0.10707687840269525,1.6872402394675734,0.4060283420351182,1000,-0.4955420470698846
2,gaussian,-0.33458610160242414,1.616893161177896,0.3826391708587752,100,-0.559601610983849
2,gaussian,-0.33458610160242414,1.616893161177896,0.3826391708587752,1000,-0.5057577163882475
3,gaussian,-0.18420407120778448,1.8273905998511775,0.5837547245695953,100,-0.5380080875353903
3,gaussian,-0.18420407120778448,1.8273905998511775,0.5837547245695953,1000,-0.5252362493578189
4,gaussian,-0.06456914536427925,0.8497904072268359,0.02592199501060255,100,-0.29109535845854717
4,gaussian,-0.06456914536427925,0.8497904072268359,0.02592199501060255,1000,-0.3034639191521287
5,gaussian,0.15317562504133594,1.6512585824727541,0.37352106474638325,100,-0.438733452680614
5,gaussian,0.15317562504133594,1.6512585824727541,0.37352106474638325,1000,-0.5025956305912871
6,gaussian,0.15919233497399174,0.6222797891703267,0.18065263332738601,100,-0.24240266861071552
6,gaussian,0.15919233497399174,0.6222797891703267,0.18065263332738601,1000,-0.2362238081414384
7,gaussian,0.42685370618251794,1.9127657113546137,0.7718881653980945,100,-0.5486291356932789
7,gaussian,0.42685370618251794,1.9127657113546137,0.7718881653980945,1000,-0.5490479197599948
8,gaussian,0.04215287633988198,1.433002913954114,0.1678649258842455,100,-0.4206614113353399
8,gaussian,0.04215287633988198,1.433002913954114,0.1678649258842455,1000,-0.4544965784766016
9,gaussian,-0.021111386813976334,1.67509102287984,0.38732030697454833,100,-0.5088875491468934
9,gaussian,-0.021111386813976334,1.67509102287984,0.38732030697454833,1000,-0.4920739455145825
10,gaussian,0.15544728695975096,1.5156530455128334,0.24483760746933758,100,-0.4403124991138773
10,gaussian,0.15544728695975096,1.5156530455128334,0.24483760746933758,1000,-0.458816474746153
11,gaussian,0.3919642817263777,1.6070396114804646,0.39371241972224114,100,-0.49575046883692825
11,gaussian,0.3919642817263777,1.6070396114804646,0.39371241972224114,1000,-0.4737275651644309
12,gaussian,0.018595258569634437,1.1961550972463093,0.03645407306224979,100,-0.40905468144640406
12,gaussian,0.018595258569634437,1.1961550972463093,0.03645407306224979,1000,-0.3853580551762719
13,gaussian,-0.24465308481471715,1.0925486761569803,0.038245669011028105,100,-0.34361994193560547
13,gaussian,-0.24465308481471715,1.0925486761569803,0.038245669011028105,1000,-0.3893753312542622
14,gaussian,-0.08834265162912115,1.9240665495806129,0.7004773148315193,100,-0.5168422813588708
14,gaussian,-0.08834265162912115,1.9240665495806129,0.7004773148315193,1000,-0.5515484922767779
15,gaussian,-0.23204222841913058,0.6427139802609878,0.17551790254789645,100,-0.24644657863871228
15,gaussian,-0.23204222841913058,0.6427139802609878,0.17551790254789645,1000,-0.2459093545160913
16,gaussian,-0.3832104877903188,0.7334819862081279,0.15237529140295258,100,-0.2642157746529569
16,gaussian,-0.3832104877903188,0.7334819862081279,0.15237529140295258,1000,-0.2824875162661951
17,gaussian,-0.17749037337477916,0.9405913917625677,0.019353960820134075,100,-0.31094379304346825
17,gaussian,-0.17749037337477916,0.9405913917625677,0.019353960820134075,1000,-0.3361008768072123
18,gaussian,-0.3619489914052153,0.5506170135525323,0.3138088707246458,100,-0.2512572313367006
18,gaussian,-0.3619489914052153,0.5506170135525323,0.3138088707246458,1000,-0.21427092354757277
19,gaussian,0.20640394978474472,1.3325369023929585,0.12204402258496083,100,-0.42102525105616745
19,gaussian,0.20640394978474472,1.3325369023929585,0.12204402258496083,1000,-0.4326284937750148
20,gaussian,0.0769475135344133,0.6274030456907013,0.1659438795639102,100,-0.25087477844482453
20,gaussian,0.0769475135344133,0.6274030456907013,0.1659438795639102,1000,-0.23659937366327355
21,gaussian,0.0593381717205059,1.526662851524446,0.24402602997053557,100,-0.4217538220861408
21,gaussian,0.0593381717205059,1.526662851524446,0.24402602997053557,1000,-0.4741775791400659
22,gaussian,0.2778101086098219,1.6611330467874716,0.41077079995043353,100,-0.46757564745517893
22,gaussian,0.2778101086098219,1.6611330467874716,0.41077079995043353,1000,-0.48856453150204376
23,gaussian,0.14392609484606253,0.8326632792623897,0.04014737381745981,100,-0.28617353570148196
23,gaussian,0.14392609484606253,0.8326632792623897,0.04014737381745981,1000,-0.29500859123838785
24,gaussian,-0.036503239651374586,1.4394082853502987,0.17238223303119982,100,-0.5093830497136254
24,gaussian,-0.036503239651374586,1.4394082853502987,0.17238223303119982,1000,-0.46658587007269964
25,gaussian,0.19357251714181523,1.4953274078075016,0.2343920032232938,100,-0.44606879709279723
25,gaussian,0.19357251714181523,1.4953274078075016,0.2343920032232938,1000,-0.4652592138535438
26,gaussian,-0.2642113864625642,0.9404796478729541,0.03852008256355888,100,-0.3068129784044455
26,gaussian,-0.2642113864625642,0.9404796478729541,0.03852008256355888,1000,-0.33010472220042536
27,gaussian,-0.06025585702386424,1.386539975413648,0.1362505183161402,100,-0.4712734121100244
27,gaussian,-0.06025585702386424,1.386539975413648,0.1362505183161402,1000,-0.4688408913357375
28,gaussian,-0.41349751445112304,1.5370294651361789,0.3368682506537869,100,-0.465845372358502
28,gaussian,-0.41349751445112304,1.5370294651361789,0.3368682506537869,1000,-0.47014501711171647
29,gaussian,-0.18874456440793216,0.8656898430301274,0.036750290955829046,100,-0.3104906885600113
29,gaussian,-0.18874456440793216,0.8656898430301274,0.036750290955829046,1000,-0.3035757396777189
30,gaussian,-0.3741810237768216,1.7874911979416082,0.5867550392912673,100,-0.5111283822275609
30,gaussian,-0.3741810237768216,1.7874911979416082,0.5867550392912673,1000,-0.5185621351257289
31,gaussian,0.2587065394651233,0.5318182688255257,0.3063333202603654,100,-0.1802107254975368
31,gaussian,0.2587065394651233,0.5318182688255257,0.3063333202603654,1000,-0.20720513006593994
32,gaussian,-0.40372947411499355,1.9445104804816653,0.8070489840789583,100,-0.5567053150947295
32,gaussian,-0.40372947411499355,1.9445104804816653,0.8070489840789583,1000,-0.5555272159114292
33,gaussian,-0.09398118505098496,1.9924088664068589,0.7999183847191742,100,-0.5576386107384771
